driver,empty
1,51
2,69
3,33
4,72
5,74
6,75
7,81
8,75
9,69
10,78
11,90
12,72
13,84
14,55
15,79
20,68
23,76
24,87
27,85
29,67
30,68
33,88
34,70
35,66
36,81
37,77
38,75
39,52
40,70
42,81
44,80
45,80
47,70
48,71
52,78
53,71
54,53
55,72
57,69
58,76
59,58
63,84
64,71
67,71
69,83
71,59
75,65
78,81
79,83
80,84
82,73
85,84
86,82
87,87
88,72
90,80
92,73
94,80
96,57
98,71
99,71
101,64
102,54
103,87
104,66
107,76
108,86
110,75
111,77
112,85
113,77
114,84
115,92
116,53
117,71
118,63
119,83
120,74
121,74
122,56
123,77
124,68
125,74
127,65
128,65
130,92
131,64
133,59
134,75
136,76
138,82
139,72
143,55
144,71
145,69
146,85
147,81
148,75
151,66
153,59
154,77
155,68
156,78
157,85
158,73
159,69
160,75
161,83
162,78
163,69
164,84
165,85
166,69
167,76
168,55
169,78
170,61
173,61
174,37
175,80
177,45
180,79
182,84
187,77
188,87
190,72
191,68
193,72
194,84
195,74
197,77
198,66
199,81
201,76
202,74
203,66
204,85
207,67
209,79
210,92
213,64
215,89
218,56
219,32
220,75
221,41
222,88
223,70
224,63
225,67
228,76
229,56
230,49
233,80
234,87
235,83
236,54
237,84
239,75
240,68
241,77
242,83
245,66
251,53
254,80
256,87
257,80
264,91
267,90
272,78
273,76
274,64
275,65
276,82
281,81
282,72
285,52
287,54
290,73
292,89
293,70
294,65
296,78
299,71
300,68
308,82
309,80
310,75
532,60
533,84
535,59
537,93
539,56
540,71
541,66
545,57
546,70
547,81
551,73
552,72
554,72
555,65
559,64
561,59
562,63
563,67
565,67
567,68
569,79
570,73
571,48
572,68
573,50
574,77
576,76
578,76
582,85
583,75
584,70
585,68
587,50
588,73
590,64
591,74
594,68
596,77
597,77
598,59
599,75
600,77
602,69
604,61
605,61
608,53
609,63
610,44
611,80
617,76
618,77
619,72
620,57
621,64
622,50
623,68
624,63
625,56
626,68
627,86
628,70
629,47
630,92
631,64
632,71
633,71
634,55
635,63
636,71
638,53
640,64
641,65
642,62
643,54
644,63
645,50
646,50
647,53
648,48
649,48
651,49
652,47
657,30
658,80
660,35
661,76
663,63
664,63
666,72
667,56
668,65
670,51
671,65
672,75
673,45
677,40
678,79
679,63
680,62
681,65
685,77
686,59
687,61
689,68
690,63
693,75
694,87
697,67
698,47
699,66
701,92
702,67
703,69
704,74
705,70
706,44
707,82
709,71
710,62
711,55
712,87
713,71
715,77
716,72
718,69
720,86
721,58
722,63
723,73
725,74
728,82
729,60
730,64
731,59
732,63
733,65
734,62
735,69
736,66
737,78
738,58
741,67
742,80
743,91
744,55
745,39
747,89
748,55
749,56
750,67
752,73
754,73
755,58
757,52
759,69
762,81
763,77
765,65
766,71
767,61
768,81
769,63
770,49
772,54
774,56
775,42
776,70
779,63
780,63
811,72
812,62
813,79
815,82
816,39
817,73
818,47
819,74
820,72
821,67
823,73
824,67
826,70
827,75
828,73
829,68
832,70
834,40
838,77
841,56
842,72
843,61
844,64
845,64
846,78
847,48
848,86
852,61
853,53
855,79
856,66
858,69
859,73
860,60
861,84
864,82
866,77
868,67
872,77
877,72
878,62
879,67
880,76
881,67
884,61
886,59
888,48
889,79
890,84
891,77
893,57
895,54
897,76
898,65
899,69
900,58
901,63
902,69
903,70
904,83
905,65
907,66
908,69
909,82
910,63
911,83
912,70
913,80
914,79
915,91
916,73
917,80
918,72
919,62
920,70
925,70
926,54
927,62
928,44
930,68
932,63
933,59
934,68
935,75
936,62
937,68
939,77
941,78
945,72
947,61
949,85
952,66
953,70
954,89
956,78
958,60
960,77
961,74
963,72
964,65
967,63
968,81
969,65
970,61
971,71
973,85
974,81
975,72
976,66
979,42
980,67
982,69
984,61
986,53
987,59
988,69
990,67
991,67
993,81
996,69
997,69
1000,73
1001,63
1002,76
1003,65
1005,70
1006,63
1007,44
1008,67
1009,87
1010,54
1011,69
1014,74
1015,69
1016,59
1017,60
1018,47
1021,61
1023,76
1024,77
1026,89
1027,67
1029,70
1031,36
1032,72
1033,49
1034,66
1035,65
1036,72
1037,60
1038,75
1039,78
1041,70
1042,43
1044,43
1045,77
1046,74
1048,76
1049,61
1050,70
1051,87
1053,74
1054,72
1055,55
1056,69
1058,86
1059,52
1060,59
1061,86
1063,70
1064,61
1065,77
1066,67
1067,77
1070,65
1072,76
1074,71
1075,65
1076,69
1079,63
1080,68
1081,62
1083,77
1084,67
1085,57
1086,60
1087,58
1088,70
1091,58
1092,68
1093,61
1095,57
1096,67
1098,70
1099,73
1100,67
1101,65
1102,65
1104,64
1105,66
1106,65
1108,67
1109,90
1110,59
1111,50
1112,85
1113,73
1115,63
1116,64
1117,76
1119,70
1122,59
1123,67
1124,70
1125,85
1129,73
1130,56
1131,70
1132,79
1133,64
1134,91
1135,73
1136,77
1137,69
1141,65
1142,67
1143,77
1144,66
1145,84
1146,56
1147,84
1149,46
1150,63
1151,67
1152,85
1153,75
1155,76
1156,70
1157,69
1158,60
1159,84
1160,66
1162,75
1164,62
1167,82
1168,66
1169,80
1170,60
1171,59
1173,64
1175,67
1176,77
1177,51
1178,70
1179,74
1181,51
1182,60
1183,72
1185,78
1186,73
1187,65
1188,79
1189,59
1191,58
1192,61
1193,42
1194,81
1195,59
1196,75
1197,61
1200,71
1202,79
1207,58
1211,59
1212,60
